label,body_similarity_score,baseline_score,signal_strength,sensitivity_score
1,0.10,0.12,0.85,0.90
1,0.15,0.10,0.80,0.82
1,0.20,0.18,0.78,0.80
1,0.30,0.22,0.70,0.72
1,0.40,0.30,0.66,0.68
1,0.25,0.15,0.75,0.77
1,0.18,0.12,0.83,0.85
1,0.35,0.28,0.65,0.67
0,0.85,0.70,0.20,0.15
0,0.90,0.75,0.18,0.10
0,0.80,0.60,0.22,0.20
0,0.70,0.55,0.25,0.25
0,0.60,0.50,0.30,0.30
0,0.65,0.58,0.28,0.26
0,0.75,0.62,0.24,0.22
0,0.95,0.80,0.12,0.08
0,0.88,0.72,0.16,0.14
1,0.22,0.20,0.74,0.76
1,0.28,0.25,0.71,0.73
0,0.78,0.68,0.21,0.19
